,latitude,longitude,rank,company_name,address,city,state,employee_count,revenue,profit
51,34.15687,-118.32503,52,DISNEY,500 SOUTH BUENA VISTA STREET,Burbank,CA,195000,55632,9391.0
52,38.25647,-85.75889,53,HUMANA,500 WEST MAIN STREET,Louisville,KY,51600,54379,614.0
53,40.75039,-73.97252,54,PFIZER,235 EAST 42ND STREET,New York,NY,96500,52824,7215.0
54,40.70636,-74.00513,55,AIG,175 WATER STREET,New York,NY,56400,52367,-849.0
55,39.031,-77.13895,56,LOCKHEED MARTIN,6801 ROCKLEDGE DRIVE,Bethesda,MD,97000,50658,5302.0
56,29.75826,-95.62004,57,SYSCO,1390 ENCLAVE PARKWAY,Houston,TX,51900,50367,949.6
57,35.10565,-89.85831,58,FEDEX,942 SOUTH SHADY GROVE ROAD,Memphis,TN,335767,50365,1820.0
58,37.41467,-122.14572,59,HEWLETT PACKARD ENTERPRISE,3000 HANOVER STREET,Palo Alto,CA,195000,50123,3161.0
59,37.40866,-121.9537,60,CISCO SYSTEMS,170 WEST TASMAN DRIVE,San Jose,CA,73700,49247,10739.0
60,37.41467,-122.14572,61,HP,3000 HANOVER STREET,Palo Alto,CA,49000,48238,2496.0
61,43.43742,-84.01462,62,DOW CHEMICAL,2030 DOW CENTER,Midland,MI,56000,48158,4318.0
62,36.15317,-86.81451,63,HCA HOLDINGS,1 PARK PLAZA,Nashville,TN,210500,44747,2890.0
63,33.77128,-84.39629,64,COCA-COLA,1 COCA-COLA PLAZA,Atlanta,GA,100300,41863,6527.0
64,40.74324,-73.98606,65,NEW YORK LIFE INSURANCE,51 MADISON AVENUE,New York,NY,11320,40787,1088.1
65,38.64954,-90.33465,66,CENTENE,7700 FORSYTH BOULEVARD,Saint Louis,MO,30500,40721,562.0
66,32.82564,-97.05058,67,AMERICAN AIRLINES GROUP,4333 AMON CARTER BOULEVARD,Fort Worth,TX,122300,40180,2676.0
67,39.96857,-83.00345,68,NATIONWIDE,1 NATIONWIDE BOULEVARD,Columbus,OH,34320,40074,334.3
68,40.677334,-74.272687,69,MERCK,2000 GALLOPING HILL ROAD,Kenilworth,NJ,68000,39807,3920.0
69,41.81703,-72.73874,70,CIGNA,900 COTTAGE GROVE ROAD,Bloomfield,CT,41000,39668,1867.0
70,33.6564,-84.42315,71,DELTA AIR LINES,1030 DELTA BOULEVARD,Atlanta,GA,83756,39639,4373.0
71,44.86392,-93.30542,72,BEST BUY,7601 PENN AVENUE SOUTH,Richfield,MN,125000,39403,1228.0
72,40.79199,-74.44436,73,HONEYWELL INTERNATIONAL,101 COLUMBIA ROAD,Morris Township,NJ,131000,39302,4809.0
73,40.69173,-89.58841,74,CATERPILLAR,100 NE ADAMS STREET,Peoria,IL,95400,38537,-67.0
74,42.35006,-71.07208,75,LIBERTY MUTUAL INSURANCE GROUP,175 BERKELEY STREET,Boston,MA,50000,38308,1006.0
75,40.75998,-73.98551,76,MORGAN STANLEY,1585 BROADWAY,New York,NY,55311,37949,5979.0
76,42.11747,-72.5481,77,MASSACHUSETTS MUTUAL LIFE INSURANCE,1295 STATE STREET,Springfield,MA,11737,37788,1273.5
77,40.71473,-74.01444,78,GOLDMAN SACHS GROUP,200 WEST STREET,New York,NY,34400,37712,7398.0
78,32.861433,-96.807209,79,ENERGY TRANSFER EQUITY,8111 WESTCHESTER DRIVE,Dallas,TX,30992,37504,995.0
79,40.75318,-73.97332,80,TIAA,730 3RD AVENUE,New York,NY,12997,37105,1492.3
80,37.53073,-122.26245,81,ORACLE,500 ORACLE PARKWAY,Redwood City,CA,136000,37047,8901.0
81,36.15401,-94.15459,82,TYSON FOODS,2200 WEST DON TYSON PARKWAY,Springdale,AR,114000,36881,1768.0
82,41.8787,-87.63598,83,UNITED CONTINENTAL HOLDINGS,233 SOUTH WACKER DRIVE,Chicago,IL,88000,36556,2263.0
83,42.09907,-87.87074,84,ALLSTATE,2775 SANDERS ROAD,Northbrook,IL,43275,36534,1877.0
84,28.0023,-82.01313,85,PUBLIX SUPER MARKETS,3300 PUBLIX CORPORATE PARKWAY,Lakeland,FL,191000,34274,2025.7
85,40.71392,-74.01469,86,AMERICAN EXPRESS,200 VESEY STREET,New York,NY,56400,33823,5408.0
86,42.30874,-71.38258,87,TJX,770 COCHITUATE ROAD,Framingham,MA,235000,33184,2298.2
87,45.50715,-122.82844,88,NIKE,1 BOWERMAN DRIVE,Beaverton,OR,70700,32376,3760.0
