latitude,longitude,rank,company_name,address,city,state,employee_count,revenue,profit
37.56714,-122.28188,92,GILEAD SCIENCES,333 LAKESIDE DRIVE,Foster City,CA,9000,30390,13501
44.86943,-93.06283,93,CHS,5500 CENEX DRIVE,Inver Grove Height,MN,12157,30347,424.2
44.95067,-92.99524,94,3M,2501 HUDSON ROAD,Maplewood,MN,91584,30109,5050
40.76769,-73.98228,95,TIME WARNER,1 TIME WARNER CENTER,New York,NY,25000,29318,3926
41.04985,-73.5389,96,CHARTER COMMUNICATIONS,400 ATLANTIC STREET,Stamford,CT,91500,29003,3522
43.03961,-87.90223,97,NORTHWESTERN MUTUAL,720 EAST WISCONSIN AVENUE,Milwaukee,WI,5646,28799,818
37.48229,-122.1504,98,FACEBOOK,1601 WILLOW ROAD,Menlo Park,CA,17048,27638,10217
40.75408,-73.97349,99,TRAVELERS COS.,485 LEXINGTON AVENUE,New York,NY,30900,27625,3014
38.92432,-77.21334,100,CAPITAL ONE FINANCIAL,1680 CAPITAL ONE DRIVE,Mclean,VA,47300,27519,3751
40.75867,-73.9824,101,TWENTY-FIRST CENTURY FOX,1211 AVENUE OF THE AMERICAS,New York,NY,21500,27326,2755
29.53455,-98.573,102,USAA,9800 FREDERICKSBURG ROAD,San Antonio,TX,29943,27131,1779.1
25.81058,-80.35481,103,WORLD FUEL SERVICES,9800 NW 41ST STREET,Miami,FL,5000,27016,126.5
40.75168,-73.97843,104,PHILIP MORRIS INTERNATIONAL,120 PARK AVENUE,New York,NY,79500,26685,6967
41.47632,-90.42457,105,DEERE,1 JOHN DEERE PLACE,Moline,IL,56767,26644,1523.9
41.885297,-87.621006,106,KRAFT HEINZ,200 EAST RANDOLPH STREET,Chicago,IL,41000,26487,3632
27.9175,-82.70783,107,TECH DATA,5350 TECH DATA DRIVE,Clearwater,FL,9500,26235,195.1
33.42748,-111.97988,108,AVNET,2211 SOUTH 47TH STREET,Phoenix,AZ,17700,26219,506.5
42.16287,-87.87935,109,MONDELEZ INTERNATIONAL,3 PARKWAY NORTH,Deerfield,IL,90000,25923,1659
39.10325,-84.51413,110,MACY'S,7 WEST 7TH STREET,Cincinnati,OH,148300,25778,619
42.30212,-87.89156,111,ABBVIE,1 NORTH WAUKEGAN,North Chicago,IL,30000,25638,5953
41.84894,-87.94548,112,MCDONALD'S,1 MCDONALD'S PLAZA,Oak Brook,IL,375000,24622,4686.5
39.74627,-75.54817,113,DUPONT,1007 MARKET STREET,Wilmington,DE,46000,24594,2513
38.86758,-77.21551,114,NORTHROP GRUMMAN,2980 FAIRVIEW PARK DRIVE,Falls Church,VA,67000,24508,2200
29.78758,-95.61758,115,CONOCOPHILLIPS,600 NORTH DAIRY ASHFORD STREET,Houston,TX,13300,24360,-3615
42.40632,-71.27939,116,RAYTHEON,870 WINTER STREET,Waltham,MA,63000,24069,2211
29.6161,-98.45941,117,ANDEAVOR,19100 RIDGEWOOD PARKWAY,San Antonio,TX,6308,24005,734
39.581553,-104.88214,118,ARROW ELECTRONICS,9201 EAST DRY CREEK ROAD,Centennial,CO,18700,23825,522.8
32.89718,-117.19576,119,QUALCOMM,5775 MOREHOUSE DRIVE,San Diego,CA,30500,23554,5705
41.53704,-81.45156,120,PROGRESSIVE,6300 WILSON MILLS ROAD,Mayfield Village,OH,31721,23441,1031
35.22391,-80.8481,121,DUKE ENERGY,550 SOUTH TRYON STREET,Charlotte,NC,28798,23369,2152
29.75765,-95.36883,122,ENTERPRISE PRODUCTS PARTNERS,1100 LOUISIANA STREET,Houston,TX,6800,23022,2513.1
34.19201,-118.91968,123,AMGEN,1 AMGEN CENTER DRIVE,Thousand Oaks,CA,19200,22991,7722
41.9889,-87.85781,124,US FOODS HOLDING,9399 WEST HIGGINS ROAD,Rosemont,IL,25000,22919,209.8
44.97559,-93.27387,125,U.S. BANCORP,800 NICOLLET MALL,Minneapolis,MN,71191,22744,5888
32.46836,-84.96455,126,AFLAC,1932 WYNNTON ROAD,Columbus,GA,10212,22559,2659
42.08016,-88.22354,127,SEARS HOLDINGS,3333 BEVERLY ROAD,Hoffman Estates,IL,140000,22138,-2221
36.30908,-86.6993,128,DOLLAR GENERAL,100 MISSION RIDGE,Goodlettsville,TN,121000,21987,1251.1
26.12002,-80.14419,129,AUTONATION,200 SW 1ST AVENUE,Fort Lauderdale,FL,26000,21609,430.5
35.95185,-86.81122,130,COMMUNITY HEALTH SYSTEMS,4000 MERIDIAN BOULEVARD,Franklin,TN,108000,21374,-1721
47.58181,-122.33534,131,STARBUCKS,2401 UTAH AVENUE SOUTH,Seattle,WA,254000,21316,2817.7
39.75545,-86.15487,132,ELI LILLY,893 SOUTH DELAWARE STREET,Indianapolis,IN,41975,21222,2737.6
35.10015,-89.84948,133,INTERNATIONAL PAPER,6400 POPLAR AVENUE,Memphis,TN,55000,21079,904
32.78485,-96.80259,134,TENET HEALTHCARE,1445 ROSS AVENUE,Dallas,TX,116475,21070,-192
