city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng
Palmdale,Palmdale,CA,California,6037,Los Angeles,34.5944,-118.1057
Hollywood,Hollywood,FL,Florida,12011,Broward,26.0294,-80.1679
Midland,Midland,TX,Texas,48329,Midland,32.0249,-102.1137
Leesburg,Leesburg,FL,Florida,12069,Lake,28.7657,-81.8996
Port Arthur,Port Arthur,TX,Texas,48245,Jefferson,29.8554,-93.9264
Muskegon,Muskegon,MI,Michigan,26121,Muskegon,43.2281,-86.2563
Macon,Macon,GA,Georgia,13021,Bibb,32.8065,-83.6974
Kansas City,Kansas City,KS,Kansas,20209,Wyandotte,39.1234,-94.7443
Sunnyvale,Sunnyvale,CA,California,6085,Santa Clara,37.3836,-122.0256
Pomona,Pomona,CA,California,6037,Los Angeles,34.0585,-117.7626
Escondido,Escondido,CA,California,6073,San Diego,33.1347,-117.0722
Pasadena,Pasadena,TX,Texas,48201,Harris,29.6583,-95.1499
New Bedford,New Bedford,MA,Massachusetts,25005,Bristol,41.6697,-70.9428
Fairfield,Fairfield,CA,California,6095,Solano,38.2592,-122.0324
Naperville,Naperville,IL,Illinois,17043,DuPage,41.7483,-88.1657
Bellevue,Bellevue,WA,Washington,53033,King,47.5951,-122.1535
Binghamton,Binghamton,NY,New York,36007,Broome,42.1014,-75.9093
Elkhart,Elkhart,IN,Indiana,18039,Elkhart,41.6916,-85.9628
Topeka,Topeka,KS,Kansas,20177,Shawnee,39.0346,-95.6955
Joliet,Joliet,IL,Illinois,17197,Will,41.5189,-88.1499
Beaumont,Beaumont,TX,Texas,48245,Jefferson,30.0849,-94.1451
Paterson,Paterson,NJ,New Jersey,34031,Passaic,40.9147,-74.1624
Merced,Merced,CA,California,6047,Merced,37.3057,-120.4778
Pueblo,Pueblo,CO,Colorado,8101,Pueblo,38.2705,-104.6112
Tyler,Tyler,TX,Texas,48423,Smith,32.3184,-95.3062
Torrance,Torrance,CA,California,6037,Los Angeles,33.8346,-118.3417
Yuma,Yuma,AZ,Arizona,4027,Yuma,32.5992,-114.5488
Metairie,Metairie,LA,Louisiana,22051,Jefferson,29.9977,-90.178
Surprise,Surprise,AZ,Arizona,4013,Maricopa,33.68,-112.4524
Columbia,Columbia,MO,Missouri,29019,Boone,38.9478,-92.3256
Athens,Athens,GA,Georgia,13059,Clarke,33.9508,-83.3689
Roseville,Roseville,CA,California,6061,Placer,38.7703,-121.3196
Thornton,Thornton,CO,Colorado,8001,Adams,39.9197,-104.9438
Miramar,Miramar,FL,Florida,12011,Broward,25.9773,-80.3351
Pasadena,Pasadena,CA,California,6037,Los Angeles,34.1597,-118.139
Mesquite,Mesquite,TX,Texas,48113,Dallas,32.7623,-96.5889
Olathe,Olathe,KS,Kansas,20091,Johnson,38.8832,-94.8198
Santa Maria,Santa Maria,CA,California,6083,Santa Barbara,34.9334,-120.4432
Houma,Houma,LA,Louisiana,22109,Terrebonne,29.5799,-90.7058
Carrollton,Carrollton,TX,Texas,48113,Dallas,32.989,-96.8999
Grand Junction,Grand Junction,CO,Colorado,8077,Mesa,39.0876,-108.5673
Charleston,Charleston,WV,West Virginia,54039,Kanawha,38.3484,-81.6323
Orange,Orange,CA,California,6059,Orange,33.8038,-117.8218
Fullerton,Fullerton,CA,California,6059,Orange,33.8841,-117.9279
Greeley,Greeley,CO,Colorado,8123,Weld,40.4151,-104.7706
Carolina,Carolina,PR,Puerto Rico,72031,Carolina,18.4054,-65.9792
Las Cruces,Las Cruces,NM,New Mexico,35013,Doña Ana,32.3265,-106.7892
Panama City,Panama City,FL,Florida,12005,Bay,30.1995,-85.6004
Harlingen,Harlingen,TX,Texas,48061,Cameron,26.1917,-97.6976
West Valley City,West Valley City,UT,Utah,49035,Salt Lake,40.6889,-112.0115
Hampton,Hampton,VA,Virginia,51650,Hampton,37.0551,-76.363
Warren,Warren,MI,Michigan,26099,Macomb,42.4934,-83.027
Mauldin,Mauldin,SC,South Carolina,45045,Greenville,34.7849,-82.3005
Bloomington,Bloomington,IL,Illinois,17113,McLean,40.4757,-88.9703
Coral Springs,Coral Springs,FL,Florida,12011,Broward,26.2702,-80.2591
Round Rock,Round Rock,TX,Texas,48491,Williamson,30.5254,-97.666
Yakima,Yakima,WA,Washington,53077,Yakima,46.5923,-120.5496
Sterling Heights,Sterling Heights,MI,Michigan,26099,Macomb,42.5809,-83.0305
Kent,Kent,WA,Washington,53033,King,47.3887,-122.2129
Burlington,Burlington,NC,North Carolina,37001,Alamance,36.0758,-79.4686
Bellingham,Bellingham,WA,Washington,53073,Whatcom,48.7543,-122.4687
Santa Clara,Santa Clara,CA,California,6085,Santa Clara,37.3645,-121.968
